X,Y,time,wind_speed
13.9499998092651,34.439998626709,42673.5469037384,85
13.9799995422363,34.4899978637695,42673.546915544,83
14.0099992752075,34.5400009155273,42673.5469273495,81
14.039999961853,34.5799980163574,42673.5469391667,77
14.0599994659424,34.6300010681152,42673.5469509722,75
14.0900001525879,34.6800003051758,42673.5469627777,74
14.1199998855591,34.7299995422363,42673.5469745833,71
14.1499996185303,34.7700004577637,42673.5469863889,69
14.1799993515015,34.8199996948242,42673.5469981944,71
14.210000038147,34.8699989318848,42673.5470100116,68
14.2399997711182,34.9199981689453,42673.5470218172,66
14.2599992752075,34.9599990844727,42673.5470336226,64
14.289999961853,35.0099983215332,42673.5470454282,65
14.3199996948242,35.0599975585938,42673.5470572338,63
14.3499994277954,35.1100006103516,42673.5470690393,64
14.3800001144409,35.1499977111816,42673.5470808449,63
14.4099998474121,35.2000007629395,42673.5470926621,62
14.4399995803833,35.25,42673.5471044676,59
14.460000038147,35.2999992370605,42673.5471162732,58
14.4899997711182,35.3400001525879,42673.5471280788,57
14.5199995040894,35.3899993896484,42673.5471398842,58
14.5499992370605,35.439998626709,42673.5471516898,58
14.5799999237061,35.4799995422363,42673.547163507,57
14.6099996566772,35.5299987792969,42673.5471753125,55
14.6399993896484,35.5799980163574,42673.5471871181,54
14.6700000762939,35.6300010681152,42673.5471989237,54
14.6999998092651,35.6699981689453,42673.5472107292,52
14.7299995422363,35.7199974060059,42673.5472225348,49
14.75,35.7700004577637,42673.5472343403,48
14.7799997329712,35.8199996948242,42673.5472461574,46
14.8099994659424,35.8600006103516,42673.547257963,45
14.8399991989136,35.9099998474121,42673.5472697685,46
14.8699998855591,35.9599990844727,42673.5472815741,46
14.8999996185303,36.0,42673.5472933797,44
14.9299993515015,36.0499992370605,42673.5473051852,42
14.960000038147,36.0999984741211,42673.5473170023,40
14.9899997711182,36.1499977111816,42673.5473288079,39
15.0199995040894,36.189998626709,42673.5473406134,39
15.0499992370605,36.2399978637695,42673.547352419,42
15.0799999237061,36.2900009155273,42673.5473642246,43
15.1099996566772,36.3299980163574,42673.5473760301,43
15.1399993896484,36.3800010681152,42673.5473878357,42
15.1700000762939,36.4300003051758,42673.5473996528,42
15.1999998092651,36.4799995422363,42673.5474114583,40
15.2299995422363,36.5200004577637,42673.5474232639,39
15.2599992752075,36.5699996948242,42673.5474350695,38
15.289999961853,36.6199989318848,42673.547446875,36
15.3199996948242,36.6599998474121,42673.5474586806,34
15.3499994277954,36.7099990844727,42673.5474704977,33
15.3800001144409,36.7599983215332,42673.5474823032,33
15.4099998474121,36.8099975585938,42673.5474941088,34
15.4399995803833,36.8499984741211,42673.5475059144,35
15.4699993133545,36.8999977111816,42673.5475177199,37
15.5,36.9500007629395,42673.5475295255,38
15.5299997329712,36.9899978637695,42673.547541331,39
15.5599994659424,37.0400009155273,42673.5475531481,39
15.5899991989136,37.0900001525879,42673.5475649537,35
15.6199998855591,37.1300010681152,42673.5475767592,32
15.6499996185303,37.1800003051758,42673.5475885648,33
15.6799993515015,37.2299995422363,42673.5476003704,33
15.710000038147,37.2799987792969,42673.5476121759,33
15.7399997711182,37.3199996948242,42673.547623993,35
15.7699995040894,37.3699989318848,42673.5476357986,36
15.7999992370605,37.4199981689453,42673.5476476041,37
15.8299999237061,37.4599990844727,42673.5476594097,37
15.8599996566772,37.5099983215332,42673.5476712153,37
15.8899993896484,37.5599975585938,42673.5476830208,35
15.9200000762939,37.5999984741211,42673.5476948264,29
15.9499998092651,37.6499977111816,42673.5477066435,20
